ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,NumrOfKptsInROI,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime
Evaluate detector SHITOMASI and descriptor BRISK
7,FAST,4868,2.1959,406,BRISK,4.49353,BF,KNN,215,5.02348
8,FAST,4996,1.92614,396,BRISK,4.17171,BF,KNN,203,4.74969
9,FAST,4997,2.07766,401,BRISK,4.27213,BF,KNN,208,4.64775
Evaluate detector FAST and descriptor BRIEF
0,FAST,5063,2.11284,419,BRIEF,1.58559
1,FAST,4952,2.03534,427,BRIEF,1.55689,BF,KNN,229,2.83719
2,FAST,4863,1.94712,404,BRIEF,1.53176,BF,KNN,253,2.84795
3,FAST,4840,1.95979,423,BRIEF,1.54854,BF,KNN,233,3.10198
4,FAST,4856,1.79942,386,BRIEF,1.68629,BF,KNN,247,2.62622
5,FAST,4899,1.97286,414,BRIEF,1.58035,BF,KNN,224,2.59968
6,FAST,4870,2.02078,418,BRIEF,1.56859,BF,KNN,243,2.71824
7,FAST,4868,2.28056,406,BRIEF,1.47216,BF,KNN,251,2.84056
8,FAST,4996,2.08023,396,BRIEF,1.53581,BF,KNN,260,2.61057
9,FAST,4997,2.16662,401,BRIEF,1.5502,BF,KNN,238,2.51402
Evaluate detector FAST and descriptor ORB
0,FAST,5063,2.0574,419,ORB,1.44496
1,FAST,4952,1.98173,427,ORB,1.57424,BF,KNN,226,2.95483
2,FAST,4863,2.0703,404,ORB,1.49927,BF,KNN,220,2.80216
3,FAST,4840,1.98684,423,ORB,1.41838,BF,KNN,218,2.82084
4,FAST,4856,2.04813,386,ORB,1.30144,BF,KNN,226,2.70239
5,FAST,4899,1.93621,414,ORB,1.47314,BF,KNN,220,2.55956
6,FAST,4870,1.99337,418,ORB,1.34406,BF,KNN,235,2.72564
7,FAST,4868,1.97626,406,ORB,1.41342,BF,KNN,251,2.74727
8,FAST,4996,2.07144,396,ORB,1.3373,BF,KNN,226,2.65656
9,FAST,4997,2.13068,401,ORB,1.52292,BF,KNN,239,2.37228
Evaluate detector FAST and descriptor FREAK
0,FAST,5063,1.83522,419,FREAK,43.5413
1,FAST,4952,2.06683,427,FREAK,41.8062,BF,KNN,178,5.15432
2,FAST,4863,1.8473,404,FREAK,40.7052,BF,KNN,181,5.34514
3,FAST,4840,1.89909,423,FREAK,40.8574,BF,KNN,156,5.20734
4,FAST,4856,1.95202,386,FREAK,41.244,BF,KNN,182,5.08255
5,FAST,4899,2.0859,414,FREAK,40.5006,BF,KNN,159,4.85273
6,FAST,4870,1.91636,418,FREAK,41.4774,BF,KNN,179,5.12302
7,FAST,4868,1.98393,406,FREAK,41.4611,BF,KNN,196,5.2129
8,FAST,4996,2.01932,396,FREAK,41.0041,BF,KNN,164,5.0066
9,FAST,4997,2.06221,401,FREAK,41.7309,BF,KNN,171,4.74025
Detector FAST is not compatible with descriptor AKAZE
Evaluate detector FAST and descriptor SIFT
0,FAST,5063,2.03684,419,SIFT,29.8222
1,FAST,4952,2.05251,427,SIFT,29.7988,BF,KNN,316,3.57757
2,FAST,4863,1.87142,404,SIFT,30.1148,BF,KNN,325,3.65156
3,FAST,4840,2.06495,423,SIFT,34.4053,BF,KNN,297,3.49589
4,FAST,4856,2.01619,386,SIFT,28.6302,BF,KNN,311,2.83477
5,FAST,4899,1.86685,414,SIFT,30.0306,BF,KNN,291,3.00899
6,FAST,4870,1.97707,418,SIFT,29.6075,BF,KNN,326,3.50105
7,FAST,4868,2.13081,406,SIFT,29.5603,BF,KNN,315,3.21616
8,FAST,4996,2.11841,396,SIFT,32.8308,BF,KNN,300,3.02903
9,FAST,4997,1.93026,401,SIFT,28.7852,BF,KNN,301,2.94479
Evaluate detector BRISK and descriptor BRISK
0,BRISK,2757,41.7514,264,BRISK,3.16006
1,BRISK,2777,41.7492,282,BRISK,3.4093,BF,KNN,138,2.28896
2,BRISK,2741,41.0831,282,BRISK,3.0767,BF,KNN,144,2.46178
3,BRISK,2735,40.2631,277,BRISK,3.57654,BF,KNN,133,2.46574
4,BRISK,2757,39.7879,297,BRISK,3.28549,BF,KNN,144,2.65191
5,BRISK,2695,40.9745,279,BRISK,3.0662,BF,KNN,139,2.54484
6,BRISK,2715,40.9977,289,BRISK,3.37743,BF,KNN,155,2.4321
7,BRISK,2628,39.3541,272,BRISK,3.2271,BF,KNN,137,2.4531
8,BRISK,2639,39.7814,266,BRISK,2.98704,BF,KNN,150,2.2792
9,BRISK,2672,41.374,254,BRISK,2.87762,BF,KNN,158,2.13973
Evaluate detector BRISK and descriptor BRIEF
0,BRISK,2757,41.8931,264,BRIEF,1.02893
1,BRISK,2777,40.9305,282,BRIEF,1.1367,BF,KNN,138,1.39166
2,BRISK,2741,40.7398,282,BRIEF,1.07824,BF,KNN,166,1.40457
3,BRISK,2735,40.0156,277,BRIEF,1.18032,BF,KNN,129,1.30181
4,BRISK,2757,41.3752,297,BRIEF,1.09385,BF,KNN,141,1.48279
5,BRISK,2695,41.1291,279,BRIEF,1.06417,BF,KNN,148,1.44754
6,BRISK,2715,39.9132,289,BRIEF,1.06964,BF,KNN,155,1.27541
7,BRISK,2628,39.762,272,BRIEF,1.06744,BF,KNN,158,1.3494
8,BRISK,2639,39.4866,266,BRIEF,0.969687,BF,KNN,161,1.22933
9,BRISK,2672,40.6536,254,BRIEF,0.978498,BF,KNN,148,1.18825
Evaluate detector BRISK and descriptor ORB
0,BRISK,2757,41.228,264,ORB,4.39372
1,BRISK,2777,41.2231,282,ORB,4.51554,BF,KNN,94,1.29788
2,BRISK,2741,39.3135,282,ORB,4.2792,BF,KNN,107,1.35047
3,BRISK,2735,39.2799,277,ORB,4.25872,BF,KNN,88,1.51842
4,BRISK,2757,41.1991,297,ORB,4.79591,BF,KNN,97,1.52279
5,BRISK,2695,41.2925,279,ORB,4.42553,BF,KNN,85,1.33492
6,BRISK,2715,39.6906,289,ORB,4.48624,BF,KNN,114,1.39879
7,BRISK,2628,39.6734,272,ORB,4.4019,BF,KNN,112,1.35933
8,BRISK,2639,39.6579,266,ORB,4.79887,BF,KNN,114,1.29379
9,BRISK,2672,40.4529,254,ORB,4.27448,BF,KNN,122,1.27029
Evaluate detector BRISK and descriptor FREAK
0,BRISK,2757,41.2684,264,FREAK,43.5501
1,BRISK,2777,40.2073,282,FREAK,41.4625,BF,KNN,114,1.95695
2,BRISK,2741,40.0143,282,FREAK,41.2258,BF,KNN,121,2.1487
3,BRISK,2735,41.4305,277,FREAK,41.3013,BF,KNN,113,2.15567
4,BRISK,2757,40.7248,297,FREAK,42.5649,BF,KNN,118,2.20721
5,BRISK,2695,39.7104,279,FREAK,40.383,BF,KNN,103,2.05555
6,BRISK,2715,40.0027,289,FREAK,41.0589,BF,KNN,129,2.23335
7,BRISK,2628,40.195,272,FREAK,40.4955,BF,KNN,135,2.00395
8,BRISK,2639,40.384,266,FREAK,40.6185,BF,KNN,129,1.96379
9,BRISK,2672,39.5598,254,FREAK,40.4119,BF,KNN,131,1.81222
Detector BRISK is not compatible with descriptor AKAZE
Evaluate detector BRISK and descriptor SIFT
0,BRISK,2757,41.3904,264,SIFT,41.6381
1,BRISK,2777,41.4489,282,SIFT,40.5144,BF,KNN,182,1.55899
2,BRISK,2741,42.0259,282,SIFT,40.1817,BF,KNN,193,1.44522
3,BRISK,2735,41.9096,277,SIFT,44.3315,BF,KNN,169,1.66713
4,BRISK,2757,39.6737,297,SIFT,41.631,BF,KNN,183,1.66165
5,BRISK,2695,39.7751,279,SIFT,40.0953,BF,KNN,171,1.73231
6,BRISK,2715,40.3351,289,SIFT,40.8425,BF,KNN,195,1.69689
7,BRISK,2628,40.5166,272,SIFT,40.695,BF,KNN,194,1.62854
8,BRISK,2639,41.8756,266,SIFT,41.4153,BF,KNN,176,1.49958
9,BRISK,2672,39.9791,254,SIFT,38.773,BF,KNN,183,1.36771
Evaluate detector ORB and descriptor BRISK
0,ORB,500,8.423,92,BRISK,1.23532
1,ORB,500,8.04991,102,BRISK,1.38109,BF,KNN,60,0.364932
2,ORB,500,7.78801,106,BRISK,1.30835,BF,KNN,65,0.443173
3,ORB,500,7.12488,113,BRISK,1.43188,BF,KNN,65,0.560472
4,ORB,500,7.43357,109,BRISK,1.3912,BF,KNN,76,0.449993
5,ORB,500,7.37252,125,BRISK,1.62709,BF,KNN,72,0.507132
6,ORB,500,7.3932,130,BRISK,1.61295,BF,KNN,83,0.602362
7,ORB,500,7.30223,129,BRISK,1.55019,BF,KNN,83,0.514893
8,ORB,500,7.43563,127,BRISK,1.6173,BF,KNN,73,0.592587
9,ORB,500,7.24267,128,BRISK,1.59994,BF,KNN,72,0.554335
Evaluate detector ORB and descriptor BRIEF
0,ORB,500,7.35014,92,BRIEF,0.504459
1,ORB,500,7.15499,102,BRIEF,0.521296,BF,KNN,37,0.248742
2,ORB,500,7.18402,106,BRIEF,0.637467,BF,KNN,38,0.255851
3,ORB,500,7.51763,113,BRIEF,0.648049,BF,KNN,37,0.29499
4,ORB,500,7.01741,109,BRIEF,0.577753,BF,KNN,53,0.287655
5,ORB,500,7.65789,125,BRIEF,0.590922,BF,KNN,42,0.296298
6,ORB,500,7.66995,130,BRIEF,0.656292,BF,KNN,64,0.362321
7,ORB,500,7.32747,129,BRIEF,0.678421,BF,KNN,58,0.35686
8,ORB,500,7.29749,127,BRIEF,0.580679,BF,KNN,62,0.381356
9,ORB,500,7.27656,128,BRIEF,0.604916,BF,KNN,59,0.348912
Evaluate detector ORB and descriptor ORB
0,ORB,500,7.37894,92,ORB,4.43387
1,ORB,500,8.31986,102,ORB,4.85963,BF,KNN,40,0.244824
2,ORB,500,7.23599,106,ORB,4.60818,BF,KNN,57,0.256783
3,ORB,500,7.35366,113,ORB,4.6517,BF,KNN,49,0.31625
4,ORB,500,7.09857,109,ORB,4.56926,BF,KNN,54,0.321149
5,ORB,500,7.2874,125,ORB,4.3595,BF,KNN,57,0.299367
6,ORB,500,6.98169,130,ORB,4.47523,BF,KNN,68,0.365828
7,ORB,500,7.76289,129,ORB,4.67687,BF,KNN,71,0.353746
8,ORB,500,7.21763,127,ORB,4.51843,BF,KNN,62,0.336896
9,ORB,500,7.47274,128,ORB,4.70508,BF,KNN,72,0.3372
Evaluate detector ORB and descriptor FREAK
0,ORB,500,7.51636,92,FREAK,40.688
1,ORB,500,7.13116,102,FREAK,39.9629,BF,KNN,39,0.164214
2,ORB,500,7.81009,106,FREAK,40.0966,BF,KNN,33,0.220591
3,ORB,500,6.89612,113,FREAK,39.4902,BF,KNN,37,0.19191
4,ORB,500,7.15215,109,FREAK,37.6389,BF,KNN,40,0.199704
5,ORB,500,7.13745,125,FREAK,39.3612,BF,KNN,33,0.202272
6,ORB,500,6.95099,130,FREAK,38.2224,BF,KNN,40,0.236183
7,ORB,500,7.08255,129,FREAK,38.4609,BF,KNN,41,0.224756
8,ORB,500,7.22635,127,FREAK,39.6955,BF,KNN,39,0.263837
9,ORB,500,7.404,128,FREAK,39.0519,BF,KNN,44,0.294328
Detector ORB is not compatible with descriptor AKAZE
Evaluate detector ORB and descriptor SIFT
0,ORB,500,7.27931,92,SIFT,42.9758
1,ORB,500,7.1689,102,SIFT,41.2521,BF,KNN,67,0.260286
2,ORB,500,7.15442,106,SIFT,43.645,BF,KNN,79,0.396081
3,ORB,500,6.99596,113,SIFT,45.3111,BF,KNN,78,0.43398
4,ORB,500,7.55025,109,SIFT,43.7797,BF,KNN,79,0.408866
5,ORB,500,7.45111,125,SIFT,45.807,BF,KNN,82,0.313446
6,ORB,500,7.24985,130,SIFT,47.3067,BF,KNN,95,0.454259
7,ORB,500,7.35456,129,SIFT,49.3348,BF,KNN,95,0.406239
8,ORB,500,7.42015,127,SIFT,51.1882,BF,KNN,94,0.384563
9,ORB,500,7.24617,128,SIFT,49.2421,BF,KNN,94,0.454106
Evaluate detector AKAZE and descriptor BRISK
0,AKAZE,1351,73.3078,166,BRISK,1.93641
1,AKAZE,1327,68.0034,157,BRISK,2.01015,BF,KNN,126,0.938476
2,AKAZE,1311,68.8589,161,BRISK,1.82334,BF,KNN,112,1.07767
3,AKAZE,1351,71.3774,155,BRISK,1.90003,BF,KNN,121,0.898312
4,AKAZE,1360,71.9134,163,BRISK,2.0351,BF,KNN,117,0.897635
5,AKAZE,1347,64.5175,164,BRISK,2.10338,BF,KNN,114,0.916682
6,AKAZE,1363,71.1694,173,BRISK,1.96894,BF,KNN,119,1.23822
7,AKAZE,1331,66.5375,175,BRISK,2.14046,BF,KNN,134,1.05963
